ID,입고일,기간,출고일
1,2018-01-03,2.0458333333333334,2018-01-05
2,2018-01-03,1.038888888888889,2018-01-04
3,2018-01-03,5.739583333333333,2018-01-09
4,2018-01-03,0.6458333333333334,2018-01-04
5,2018-01-04,2.3430555555555554,2018-01-06
6,2018-01-04,0.8090277777777778,2018-01-05
7,2018-01-04,2.395138888888889,2018-01-06
8,2018-01-04,3.9645833333333336,2018-01-08
9,2018-01-04,3.5340277777777778,2018-01-08
10,2018-01-04,0.42569444444444443,2018-01-05
11,2018-01-05,10.754166666666666,2018-01-15
12,2018-01-05,10.32986111111111,2018-01-15
13,2018-01-05,2.9875,2018-01-08
14,2018-01-06,1.7166666666666668,2018-01-08
15,2018-01-06,1.6597222222222223,2018-01-08
16,2018-01-06,2.646527777777778,2018-01-09
17,2018-01-08,1.2145833333333333,2018-01-09
18,2018-01-09,7.611805555555556,2018-01-17
19,2018-01-09,5.996527777777778,2018-01-15
20,2018-01-09,3.2770833333333336,2018-01-13
21,2018-01-10,0.5229166666666667,2018-01-11
22,2018-01-10,1.06875,2018-01-11
23,2018-01-11,0.9798611111111111,2018-01-12
24,2018-01-11,7.8375,2018-01-19
25,2018-01-11,6.225,2018-01-17
26,2018-01-11,0.5423611111111111,2018-01-12
27,2018-01-11,5.500694444444444,2018-01-17
28,2018-01-12,3.978472222222222,2018-01-16
29,2018-01-12,5.826388888888889,2018-01-18
30,2018-01-12,9.5125,2018-01-22
31,2018-01-13,4.090277777777778,2018-01-17
32,2018-01-13,3.2131944444444445,2018-01-16
33,2018-01-13,3.1909722222222223,2018-01-16
34,2018-01-13,2.615972222222222,2018-01-16
35,2018-01-15,1.9097222222222223,2018-01-17
36,2018-01-15,0.7361111111111112,2018-01-16
37,2018-01-15,1.6944444444444444,2018-01-17
38,2018-01-15,3.988888888888889,2018-01-19
39,2018-01-15,0.6798611111111111,2018-01-16
40,2018-01-15,1.9229166666666666,2018-01-17
41,2018-01-16,2.9208333333333334,2018-01-19
42,2018-01-17,2.995138888888889,2018-01-20
43,2018-01-17,0.5590277777777778,2018-01-18
44,2018-01-18,3.9729166666666664,2018-01-22
45,2018-01-19,2.8631944444444444,2018-01-22
